player_id,player_name,api_position,arrival_date,previous_club,reference_date,days_since_arrival
63,Clément Lenglet,Defence,2026-06-30,Atlético de Madrid,2026-08-01,32
297959,Gabriel Índio,Defence,2026-07-28,Athletic MG,2026-08-01,4
127401,Jakub Kamiński,Offence,2026-07-07,FC Köln,2026-08-01,25
