benfica_match_id,event_id,date,competition,season,round,venue,opponent,home_team,away_team,benfica__attack__big_chances_missed,benfica__attack__big_chances_scored,benfica__attack__fouled_in_final_third,benfica__attack__offsides,benfica__attack__through_balls,benfica__attack__touches_in_penalty_area,benfica__defending__clearances,benfica__defending__errors_lead_to_a_goal,benfica__defending__errors_lead_to_a_shot,benfica__defending__interceptions,benfica__defending__recoveries,benfica__defending__tackles_won,benfica__defending__total_tackles,benfica__duels__aerial_duels,benfica__duels__dispossessed,benfica__duels__dribbles,benfica__duels__duels,benfica__duels__ground_duels,benfica__goalkeeping__big_saves,benfica__goalkeeping__goal_kicks,benfica__goalkeeping__goals_prevented,benfica__goalkeeping__high_claims,benfica__goalkeeping__penalty_saves,benfica__goalkeeping__punches,benfica__goalkeeping__total_saves,benfica__match_overview__ball_possession,benfica__match_overview__big_chances,benfica__match_overview__corner_kicks,benfica__match_overview__distance_covered,benfica__match_overview__expected_goals,benfica__match_overview__fouls,benfica__match_overview__free_kicks,benfica__match_overview__goalkeeper_saves,benfica__match_overview__number_of_sprints,benfica__match_overview__passes,benfica__match_overview__red_cards,benfica__match_overview__tackles,benfica__match_overview__total_shots,benfica__match_overview__yellow_cards,benfica__passes__accurate_passes,benfica__passes__crosses,benfica__passes__final_third_entries,benfica__passes__final_third_phase,benfica__passes__long_balls,benfica__passes__throw_ins,benfica__shots__blocked_shots,benfica__shots__hit_woodwork,benfica__shots__shots_inside_box,benfica__shots__shots_off_target,benfica__shots__shots_on_target,benfica__shots__shots_outside_box,benfica__shots__total_shots,opponent__attack__big_chances_missed,opponent__attack__big_chances_scored,opponent__attack__fouled_in_final_third,opponent__attack__offsides,opponent__attack__through_balls,opponent__attack__touches_in_penalty_area,opponent__defending__clearances,opponent__defending__errors_lead_to_a_goal,opponent__defending__errors_lead_to_a_shot,opponent__defending__interceptions,opponent__defending__recoveries,opponent__defending__tackles_won,opponent__defending__total_tackles,opponent__duels__aerial_duels,opponent__duels__dispossessed,opponent__duels__dribbles,opponent__duels__duels,opponent__duels__ground_duels,opponent__goalkeeping__big_saves,opponent__goalkeeping__goal_kicks,opponent__goalkeeping__goals_prevented,opponent__goalkeeping__high_claims,opponent__goalkeeping__penalty_saves,opponent__goalkeeping__punches,opponent__goalkeeping__total_saves,opponent__match_overview__ball_possession,opponent__match_overview__big_chances,opponent__match_overview__corner_kicks,opponent__match_overview__distance_covered,opponent__match_overview__expected_goals,opponent__match_overview__fouls,opponent__match_overview__free_kicks,opponent__match_overview__goalkeeper_saves,opponent__match_overview__number_of_sprints,opponent__match_overview__passes,opponent__match_overview__red_cards,opponent__match_overview__tackles,opponent__match_overview__total_shots,opponent__match_overview__yellow_cards,opponent__passes__accurate_passes,opponent__passes__crosses,opponent__passes__final_third_entries,opponent__passes__final_third_phase,opponent__passes__long_balls,opponent__passes__throw_ins,opponent__shots__blocked_shots,opponent__shots__hit_woodwork,opponent__shots__shots_inside_box,opponent__shots__shots_off_target,opponent__shots__shots_on_target,opponent__shots__shots_outside_box,opponent__shots__total_shots
SLB_20260125_H_ESTRELAAMADORA,14288958,2026-01-25,Liga Portugal Betclic,Liga Portugal 25/26,19.0,Home,CF Estrela Amadora,Benfica,CF Estrela Amadora,1.0,2.0,6,1.0,,33,7,0.0,1.0,4,43,56%,18,17/31 (55%),14,11/22 (50%),55%,51/92 (55%),0.0,3,0.0,,,,0,66%,3.0,6,,2.53,10,23,0,,465,,18,15,3.0,407,5/28 (18%),56,125/150 (83%),18/34 (53%),19,1,0,12,6,8,3,15,1.0,0.0,2,1.0,,4,28,1.0,0.0,17,46,60%,25,14/31 (45%),9,7/16 (44%),45%,41/92 (45%),1.0,8,-0.88,,,,4,34%,1.0,1,,0.13,24,10,4,,245,,25,3,4.0,177,0/8 (0%),32,27/48 (56%),16/43 (37%),11,1,0,1,2,1,2,3
,14566735,2026-01-28,UEFA Champions League,UEFA Champions League 25/26,8.0,Home,Real Madrid,Benfica,Real Madrid,5.0,3.0,1,1.0,0.0,47,16,,2.0,11,41,59%,22,9/18 (50%),8,6/12 (50%),51%,43/83 (52%),3.0,8,0.23,0.0,,1.0,4,33%,8.0,6,115.1 km,3.01,11,14,4,93.0,294,0.0,22,22,2.0,227,5/12 (42%),28,76/107 (71%),13/33 (39%),15,7,2,20,3,12,2,22,1.0,2.0,2,0.0,1.0,29,19,,1.0,9,44,71%,14,9/18 (50%),5,15/32 (47%),49%,40/83 (48%),2.0,7,-1.73,1.0,,0.0,7,67%,3.0,5,107.5 km,1.5,15,11,7,85.0,610,2.0,14,16,6.0,553,4/13 (31%),67,166/192 (86%),17/36 (47%),13,5,0,12,5,6,4,16
SLB_20260201_A_TONDELA,14288966,2026-02-01,Liga Portugal Betclic,Liga Portugal 25/26,20.0,Away,Tondela,Tondela,Benfica,4.0,,5,,,59,14,,,6,41,71%,14,16/28 (57%),9,10/26 (38%),54%,43/82 (52%),0.0,13,0.02,,,1.0,1,77%,4.0,13,111.4 km,2.1,5,19,1,156.0,593,,14,24,0.0,501,8/42 (19%),76,206/265 (78%),20/44 (45%),35,7,0,15,9,8,9,24,1.0,,1,,,11,61,,,9,49,72%,25,12/28 (43%),8,9/15 (60%),46%,39/82 (48%),4.0,14,2.31,,,4.0,9,23%,1.0,1,118.6 km,0.48,19,5,9,179.0,177,,25,6,5.0,112,4/16 (25%),46,31/61 (51%),20/55 (36%),18,1,1,2,5,1,4,6
SLB_20260208_H_ALVERCA,14288979,2026-02-08,Liga Portugal Betclic,Liga Portugal 25/26,21.0,Home,FC Alverca,Benfica,FC Alverca,1.0,1.0,6,2.0,,50,13,,,5,55,71%,21,17/40 (43%),8,6/16 (38%),51%,44/80 (55%),0.0,3,-0.51,1.0,,0.0,1,63%,2.0,9,,1.97,11,18,1,,454,,21,29,3.0,385,7/34 (21%),72,136/186 (73%),16/35 (46%),20,10,1,17,9,10,12,29,1.0,1.0,2,0.0,,9,44,,,12,38,28%,18,23/40 (57%),6,8/23 (35%),49%,36/80 (45%),3.0,14,1.17,0.0,,2.0,8,37%,2.0,1,,1.14,18,11,8,,280,,18,6,2.0,201,2/6 (33%),38,31/66 (47%),29/63 (46%),19,2,0,4,2,2,2,6
SLB_20260213_A_SANTACLARA,14288997,2026-02-13,Liga Portugal Betclic,Liga Portugal 25/26,22.0,Away,Santa Clara,Santa Clara,Benfica,2.0,1.0,1,1.0,1.0,31,18,1.0,,14,49,35%,20,19/36 (53%),18,6/16 (38%),53%,47/89 (53%),0.0,2,-0.89,1.0,,0.0,1,47%,3.0,7,109.8 km,1.19,5,23,1,140.0,385,0.0,20,10,2.0,298,3/16 (19%),43,80/112 (71%),16/44 (36%),27,3,0,7,4,3,3,10,0.0,0.0,0,0.0,0.0,13,32,0.0,,11,43,54%,28,17/36 (47%),12,9/17 (53%),47%,42/89 (47%),1.0,9,0.02,0.0,,1.0,2,53%,0.0,1,99.6 km,0.28,23,5,2,145.0,440,1.0,28,9,6.0,350,1/12 (8%),62,66/105 (63%),32/64 (50%),25,6,0,2,1,2,7,9
,15452742,2026-02-17,"UEFA Champions League, Knockout stage",UEFA Champions League 25/26,636.0,Home,Real Madrid,Benfica,Real Madrid,0.0,,2,1.0,,23,25,,,7,50,57%,21,7/21 (33%),13,7/13 (54%),50%,35/63 (56%),2.0,9,1.03,1.0,,2.0,6,42%,0.0,3,123.5 km,0.47,6,9,6,93.0,444,,21,10,2.0,355,3/12 (25%),43,125/158 (79%),11/39 (28%),19,3,0,4,4,3,6,10,4.0,,1,1.0,,26,29,,,13,51,58%,19,14/21 (67%),9,4/16 (25%),50%,28/63 (44%),1.0,5,0.17,0.0,,0.0,3,58%,4.0,6,114.7 km,0.89,9,6,3,98.0,624,,19,16,2.0,549,4/14 (29%),78,139/182 (76%),28/55 (51%),13,5,0,11,4,7,5,16
SLB_20260221_H_AVSFUTEBOLSAD,14289000,2026-02-21,Liga Portugal Betclic,Liga Portugal 25/26,23.0,Home,AVS - Futebol SAD,Benfica,AVS - Futebol SAD,4.0,1.0,3,4.0,2.0,48,19,,0.0,6,47,60%,10,18/33 (55%),10,6/21 (29%),46%,29/69 (42%),,4,0.0,1.0,,0.0,0,65%,5.0,10,,3.69,7,14,0,,539,,10,22,,471,9/32 (28%),73,186/227 (82%),25/38 (66%),18,6,1,14,7,9,8,22,0.0,0.0,0,0.0,0.0,8,42,,2.0,7,33,56%,25,15/33 (45%),5,8/13 (62%),54%,40/69 (58%),,14,0.73,1.0,,1.0,6,35%,0.0,1,,0.11,14,7,6,,289,,25,3,,200,2/15 (13%),44,31/66 (47%),20/53 (38%),22,1,0,2,2,0,1,3
,15452752,2026-02-25,"UEFA Champions League, Knockout stage",UEFA Champions League 25/26,636.0,Away,Real Madrid,Real Madrid,Benfica,1.0,1.0,1,0.0,,30,20,1.0,0.0,6,33,44%,16,10/17 (59%),5,10/20 (50%),55%,41/76 (54%),,8,-1.13,0.0,,,2,44%,2.0,7,119.7 km,1.64,10,16,2,100.0,441,,16,12,2.0,381,5/20 (25%),47,69/103 (67%),17/36 (47%),12,5,1,8,3,4,4,12,1.0,1.0,3,2.0,,19,18,1.0,2.0,7,43,40%,15,7/17 (41%),10,11/17 (65%),45%,35/76 (46%),,5,0.33,1.0,,,4,56%,2.0,4,111.0 km,0.98,16,10,4,106.0,573,,15,14,2.0,516,2/10 (20%),54,92/116 (79%),23/46 (50%),9,4,0,10,6,4,4,14
SLB_20260302_A_GILVICENTE,14288810,2026-03-02,Liga Portugal Betclic,Liga Portugal 25/26,24.0,Away,Gil Vicente,Gil Vicente,Benfica,1.0,1.0,1,0.0,,32,16,0.0,,6,48,45%,11,23/39 (59%),9,9/17 (53%),49%,35/79 (44%),3.0,10,0.26,0.0,,,4,51%,1.0,3,102.0 km,0.75,12,16,4,177.0,404,,11,10,3.0,308,3/11 (27%),54,91/149 (61%),19/50 (38%),24,2,1,6,5,3,4,10,0.0,1.0,0,2.0,,17,31,1.0,,14,53,71%,17,16/39 (41%),3,17/25 (68%),51%,44/79 (56%),0.0,9,-1.16,1.0,,,1,49%,1.0,5,100.7 km,0.88,16,12,1,178.0,383,,17,13,2.0,309,5/17 (29%),31,57/88 (65%),24/50 (48%),18,1,1,5,7,5,8,13
SLB_20260308_H_FCPORTO,14288822,2026-03-08,Liga Portugal Betclic,Liga Portugal 25/26,25.0,Home,FC Porto,Benfica,FC Porto,0.0,2.0,4,0.0,0.0,37,10,1.0,,7,49,55%,20,13/23 (57%),12,12/24 (50%),53%,48/93 (52%),2.0,6,0.25,0.0,,0.0,4,60%,2.0,8,86.3 km,1.23,11,17,4,137.0,444,,20,20,3.0,364,5/30 (17%),59,121/158 (77%),14/36 (39%),20,9,1,12,5,6,8,20,1.0,2.0,2,1.0,1.0,19,44,0.0,,17,53,50%,24,10/23 (43%),13,10/17 (59%),47%,45/93 (48%),1.0,6,-0.21,1.0,,3.0,5,40%,3.0,2,49.3 km,2.12,17,11,5,79.0,313,,24,14,7.0,237,3/7 (43%),32,43/67 (64%),14/47 (30%),17,4,0,7,4,6,7,14
SLB_20260314_A_AROUCA,14288830,2026-03-14,Liga Portugal Betclic,Liga Portugal 25/26,26.0,Away,FC Arouca,FC Arouca,Benfica,2.0,2.0,4,5.0,,49,11,,,8,46,56%,18,14/25 (56%),5,11/19 (58%),59%,45/75 (60%),2.0,4,2.0,2.0,,1.0,5,61%,4.0,15,106.5 km,2.1,11,17,5,188.0,445,1.0,18,22,6.0,373,11/33 (33%),67,99/138 (72%),26/49 (53%),22,8,0,17,9,5,5,22,3.0,1.0,2,0.0,,14,31,,,7,39,54%,13,11/25 (44%),9,7/16 (44%),41%,30/75 (40%),1.0,18,-0.62,0.0,,0.0,3,39%,4.0,2,113.7 km,2.4,17,10,3,204.0,296,1.0,13,12,5.0,226,7/11 (64%),36,29/54 (54%),13/42 (31%),13,3,0,10,3,6,2,12
SLB_20260321_H_VITORIAGUIMARAES,14288841,2026-03-21,Liga Portugal Betclic,Liga Portugal 25/26,27.0,Home,Vitória SC,Benfica,Vitória SC,4.0,2.0,2,0.0,1.0,25,21,0.0,0.0,8,39,61%,18,3/11 (27%),9,5/14 (36%),48%,38/74 (51%),2.0,9,0.14,0.0,,1.0,2,49%,6.0,4,,2.34,15,15,2,,448,,18,12,0.0,383,1/11 (9%),45,72/98 (73%),16/37 (43%),16,3,0,9,5,4,3,12,1.0,0.0,1,1.0,1.0,10,18,2.0,1.0,9,47,67%,18,8/11 (73%),8,4/14 (29%),52%,36/74 (49%),1.0,5,-2.1,2.0,,2.0,2,51%,1.0,8,,0.75,15,15,2,,460,,18,16,1.0,409,6/19 (32%),41,64/83 (77%),22/36 (61%),15,5,0,7,9,2,9,16
SLB_20260406_A_CASAPIA,14288848,2026-04-06,Liga Portugal Betclic,Liga Portugal 25/26,28.0,Away,Casa Pia,Casa Pia,Benfica,3.0,1.0,4,2.0,,44,25,,0.0,4,40,47%,15,19/41 (46%),8,7/12 (58%),57%,41/65 (63%),0.0,2,-0.38,2.0,,0.0,1,79%,4.0,12,106.6 km,1.93,10,19,1,172.0,605,,15,18,0.0,522,5/28 (18%),74,151/201 (75%),17/35 (49%),27,6,1,12,9,3,6,18,1.0,1.0,0,0.0,,10,46,,1.0,10,34,46%,13,22/41 (54%),7,3/11 (27%),43%,24/65 (37%),1.0,12,0.37,1.0,,4.0,2,21%,2.0,3,106.5 km,0.29,19,10,2,171.0,159,,13,8,1.0,72,0/11 (0%),37,20/56 (36%),18/53 (34%),18,3,0,7,3,2,1,8
SLB_20260412_H_NACIONAL,14288859,2026-04-12,Liga Portugal Betclic,Liga Portugal 25/26,29.0,Home,CD Nacional,Benfica,CD Nacional,3.0,2.0,5,3.0,1.0,57,9,0.0,0.0,7,45,69%,13,14/30 (47%),10,12/27 (44%),48%,44/90 (49%),0.0,6,0.64,,0.0,,4,58%,5.0,15,89.7 km,3.43,13,17,4,110.0,466,,13,24,1.0,403,9/27 (33%),53,121/165 (73%),27/43 (63%),19,8,1,20,8,8,4,24,0.0,0.0,0,2.0,0.0,5,39,1.0,1.0,6,38,60%,25,16/30 (53%),5,9/18 (50%),52%,46/90 (51%),2.0,11,0.91,,1.0,,6,42%,0.0,1,95.8 km,0.25,18,13,6,91.0,355,,25,7,5.0,286,2/5 (40%),35,37/57 (65%),28/66 (42%),7,1,0,2,2,4,5,7
SLB_20260419_A_SPORTINGCP,14288865,2026-04-19,Liga Portugal Betclic,Liga Portugal 25/26,30.0,Away,Sporting CP,Sporting CP,Benfica,2.0,2.0,2,1.0,0.0,24,17,,1.0,9,43,65%,20,10/27 (37%),8,6/18 (33%),44%,37/80 (46%),3.0,14,0.82,0.0,1.0,1.0,5,39%,4.0,8,97.6 km,2.27,8,12,5,139.0,303,,20,14,1.0,227,6/16 (38%),44,94/132 (71%),17/52 (33%),14,4,0,9,5,5,5,14,1.0,1.0,1,1.0,1.0,30,14,,0.0,3,54,50%,20,17/27 (63%),8,15/27 (56%),56%,43/80 (54%),2.0,8,0.36,1.0,0.0,0.0,3,61%,2.0,3,94.1 km,1.63,13,7,3,153.0,491,,20,19,2.0,419,4/12 (33%),57,130/161 (81%),22/44 (50%),22,4,2,12,9,6,7,19
SLB_20260425_H_MOREIRENSE,14288877,2026-04-25,Liga Portugal Betclic,Liga Portugal 25/26,31.0,Home,Moreirense,Benfica,Moreirense,2.0,2.0,1,2.0,1.0,36,13,1.0,0.0,9,46,38%,13,13/24 (54%),6,11/17 (65%),55%,38/68 (56%),1.0,6,0.35,,,,3,58%,4.0,9,,1.99,13,14,3,,485,,13,17,2.0,409,6/14 (43%),51,71/115 (62%),30/50 (60%),20,4,2,14,5,8,3,17,1.0,1.0,0,0.0,0.0,10,26,1.0,2.0,12,40,50%,12,11/24 (46%),5,6/14 (43%),45%,30/68 (44%),1.0,6,-0.14,,,,4,42%,2.0,2,,0.89,14,13,4,,359,,12,8,2.0,283,3/6 (50%),47,47/77 (61%),19/58 (33%),20,1,0,6,3,4,2,8
SLB_20260502_A_FAMALICAO,14288883,2026-05-02,Liga Portugal Betclic,Liga Portugal 25/26,32.0,Away,Famalicão,Famalicão,Benfica,1.0,1.0,2,1.0,,18,23,,0.0,10,33,71%,17,14/27 (52%),8,10/18 (56%),56%,47/81 (58%),,9,-0.78,,,3.0,3,43%,2.0,4,94.7 km,1.29,14,19,3,202.0,318,1.0,17,8,2.0,248,1/6 (17%),49,50/91 (55%),17/43 (40%),20,2,0,7,3,3,1,8,2.0,1.0,0,0.0,,22,31,,2.0,8,35,44%,16,13/27 (48%),9,4/12 (33%),44%,34/81 (42%),,7,-1.2,,,0.0,0,57%,3.0,6,98.3 km,1.58,20,14,0,192.0,401,0.0,16,15,2.0,348,10/29 (34%),59,99/126 (79%),16/33 (48%),19,3,1,11,7,5,4,15
SLB_20260511_H_BRAGA,14288898,2026-05-11,Liga Portugal Betclic,Liga Portugal 25/26,33.0,Home,Sporting Braga,Benfica,Sporting Braga,1.0,2.0,4,2.0,,49,7,0.0,0.0,9,43,81%,16,19/27 (70%),8,15/24 (63%),59%,42/76 (55%),0.0,5,-1.15,,,,0,52%,3.0,8,94.0 km,2.91,6,10,0,81.0,473,,16,24,1.0,386,6/16 (38%),61,109/156 (70%),23/40 (57%),28,8,0,16,8,8,8,24,0.0,1.0,0,1.0,,12,25,1.0,1.0,8,44,59%,17,8/27 (30%),5,11/22 (50%),41%,34/76 (45%),3.0,12,0.84,,,,6,48%,1.0,2,92.5 km,0.2,11,6,6,78.0,442,,17,5,4.0,353,2/3 (67%),54,82/123 (67%),17/49 (35%),21,2,0,2,1,2,3,5
SLB_20260516_A_ESTORIL,14336198,2026-05-16,Liga Portugal Betclic,Liga Portugal 25/26,34.0,Away,Estoril Praia,Estoril Praia,Benfica,4.0,2.0,2,2.0,,56,9,,0.0,7,53,44%,16,12/17 (71%),7,8/16 (50%),52%,31/66 (47%),0.0,9,-0.12,,,,5,52%,6.0,9,106.1 km,4.15,12,9,5,198.0,464,,16,19,2.0,393,6/20 (30%),63,114/153 (75%),15/34 (44%),17,4,0,15,7,8,4,19,1.0,0.0,1,1.0,,21,28,,4.0,10,53,47%,15,5/17 (29%),7,9/18 (50%),48%,35/66 (53%),2.0,9,-0.84,,,,4,48%,1.0,2,101.9 km,1.52,9,12,4,156.0,430,,15,16,3.0,356,5/11 (45%),42,71/90 (79%),15/37 (41%),15,2,0,12,8,6,4,16
