event_id,date,competition,season,round,venue,opponent,player_id,player,position,shirt_number,starter,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,goalsPrevented,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,totalCross,accurateCross,duelLost,dispossessed,totalContest,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,topSpeed,kilometersCovered,numberOfSprints,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,keyPass,metersCoveredRunningKm,metersCoveredHighSpeedRunningKm,metersCoveredSprintingKm,aerialLost,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,fouls,expectedGoals,expectedGoalsOnTarget,shotValueNormalized,challengeLost,goals,bigChanceCreated,penaltyConceded,wonContest,errorLeadToAGoal,totalOffside,blockedScoringAttempt,errorLeadToAShot,clearanceOffLine,penaltyWon,goodHighClaim,hitWoodwork,metersCoveredWalkingKm,metersCoveredJoggingKm,lastManTackle,penaltyMiss,penaltySave,crossNotClaimed,ownGoals
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,795236,Vangelis Pavlidis,F,14,True,16.0,10.0,,,0.0,4.0,5.0,6.0,11.0,,1.0,1.0,2.0,,,,,,,77.0,23.0,5.3,9.0,,,,,,,"{'original': 5.3, 'alternative': 6.5}",2,,-0.36,0.05,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,3.0,,1.0,,,,,3.0,,,,,,,1.0,,,,1.0,1.0,,2.0,,,,-1.0,2.0,,,,1.0,,1.0,,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,1489159,Diogo Ferreira,G,50,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,1146008,Diogo Prioste,M,86,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,855845,Florentino Luís,M,61,False,8.0,7.0,1.0,1.0,0.0,2.0,3.0,5.0,5.0,,1.0,,1.0,,,,,,,13.0,11.0,7.8,1.0,,,,,,,"{'original': 7.8, 'alternative': 7.5}",1,,0.03,0.02,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,0.58,,1.0,,,,,,,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,1201395,Gianluca Prestianni,M,25,False,6.0,5.0,1.0,,0.0,1.0,2.0,4.0,4.0,,1.0,,3.0,,,,,,,24.0,11.0,6.4,4.0,,,,,,,"{'original': 6.4, 'alternative': 6.4}",1,,-0.05,0.11,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,4.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,-0.16,1.0,,,,,,,,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,1432417,Gonçalo Oliveira,D,64,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,998870,Henrique Araújo,F,39,False,2.0,1.0,,,0.0,,,1.0,2.0,1.0,1.0,,,,,,,,,13.0,7.0,6.4,3.0,,,,,,,"{'original': 6.4, 'alternative': 6.4}",0,,-0.04,-0.33,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,1215905,João Veloso,M,68,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,906800,Leandro Barreiro,M,18,False,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,,2.0,,1.0,,,,,,,13.0,6.0,6.7,,,,,,,,"{'original': 6.7, 'alternative': 6.7}",0,,-0.02,0.12,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,1489200,Leandro Santos,D,71,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,1142692,Rafael Obrador,M,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,983550,Samuel Soares,G,24,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,976410,Tiago Gouveia,F,47,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14241253,2025-08-12,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Home,Nice,1102791,Amar Dedić,D,17,True,47.0,41.0,,,0.0,26.0,29.0,15.0,18.0,2.0,3.0,2.0,6.0,,,,,,,90.0,65.0,7.0,10.0,,,,,,,"{'original': 7, 'alternative': 6.9}",2,,-0.14,0.56,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,2.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,1.0,,,-0.21,,,,,,,,2.0,1.0,,,,,,,,,,,
14241253,2025-08-12,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Home,Nice,966616,Anatoliy Trubin,G,1,True,34.0,25.0,13.0,5.0,0.0,23.0,25.0,2.0,9.0,1.0,1.0,1.0,5.0,,,,1.0,,,90.0,41.0,6.7,9.0,,,,,,,"{'original': 6.7, 'alternative': 6.9}",0,,0.05,0.0,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
14241253,2025-08-12,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Home,Nice,1100952,Andreas Schjelderup,M,21,True,21.0,19.0,3.0,2.0,1.0,7.0,8.0,12.0,13.0,1.0,3.0,1.0,1.0,,,,,,,64.0,33.0,8.6,6.0,,,,,,,"{'original': 8.6, 'alternative': 8.2}",2,,0.31,0.08,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3.0,1.0,2.0,,2.0,,,1.0,,,1.0,,,,,,3.0,,,,,1.0,1.0,1.0,,,,0.52,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
14241253,2025-08-12,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Home,Nice,1006069,António Silva,D,4,True,74.0,68.0,10.0,6.0,0.0,51.0,52.0,17.0,22.0,,2.0,6.0,2.0,,,,,,,90.0,89.0,7.8,7.0,,,,,,,"{'original': 7.8, 'alternative': 7.9}",2,,0.31,0.04,0.69,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,1.0,,,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,-0.28,,,,,,,,,,,,,,,,,,,,
14241253,2025-08-12,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Home,Nice,1087316,Enzo Barrenechea,M,5,True,56.0,49.0,4.0,3.0,0.0,25.0,27.0,24.0,29.0,3.0,5.0,3.0,2.0,,,,,,,63.0,70.0,7.4,11.0,,,,,,,"{'original': 7.4, 'alternative': 7.2}",2,,0.36,0.06,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,1.0,1.0,1.0,,,,,2.0,1.0,,,,,,1.0,,,,,,2.0,,,,,-0.22,,,,,1.0,,,,,,,,,,,,,,,
14241253,2025-08-12,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Home,Nice,1103333,Franjo Ivanović,F,9,True,15.0,13.0,,,0.0,6.0,6.0,7.0,9.0,,4.0,,3.0,,,,,,,63.0,26.0,6.7,6.0,,,,,,,"{'original': 6.7, 'alternative': 6.9}",2,,0.02,0.37,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,,3.0,1.0,1.0,,,2.0,,1.0,2.0,,,,,,,,,,1.0,,1.0,1.0,,,,-0.57,,,,,,,1.0,,,,,,,,,,,,,
14241253,2025-08-12,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Home,Nice,228364,Fredrik Aursnes,M,8,True,34.0,32.0,,,1.0,11.0,11.0,21.0,23.0,2.0,4.0,2.0,2.0,,,,,,,84.0,45.0,8.6,4.0,,,,,,,"{'original': 8.6, 'alternative': 8.7}",1,,0.09,0.26,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,,2.0,,,,,2.0,1.0,1.0,,,,,,,4.0,,,,1.0,,,1.0,,,,0.51,1.0,1.0,,,,,,,,,,,,,,,,,,
14241253,2025-08-12,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Home,Nice,74915,Nicolás Otamendi,D,30,True,76.0,71.0,9.0,7.0,0.0,54.0,56.0,17.0,20.0,2.0,4.0,11.0,4.0,,,,,,,90.0,95.0,8.4,5.0,,,,,,,"{'original': 8.4, 'alternative': 8.1}",1,,0.36,0.1,0.44,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,3.0,,,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,,1.0,2.0,,,0.34,1.0,,,,,,,,,,,,,,,,,,,
14241253,2025-08-12,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Home,Nice,1015292,Richard Ríos,M,20,True,63.0,58.0,6.0,4.0,0.0,35.0,36.0,23.0,27.0,1.0,8.0,1.0,5.0,,,,,,,90.0,83.0,7.5,8.0,,,,,,,"{'original': 7.5, 'alternative': 7.4}",2,,0.08,0.17,0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,,,,,,1.0,,,,1.0,,,,1.0,,,0.01,1.0,,,,1.0,,,2.0,,,,,,,,,,,,
