date,competition,round,venue,result,goals_for,goals_against,opponent,goals,shots,shots_on_target,shot_on_target_pct,goals_per_shot,goals_per_shot_on_target,penalties_scored,penalties_attempted,shots_against,shots_on_target_against,shot_on_target_pct_against,goals_per_shot_against,goals_per_shot_on_target_against,penalties_against,penalties_attempted_against,shot_difference,shots_on_target_difference,shot_accuracy,opponent_shot_accuracy
2026-07-23,Europa Lg,Second qualifying round,Away,L,1,2,ch St. Gallen,1,14,4,28.6,0.07,0.25,0,0,17,6,35.3,0.12,0.33,0,0,-3,-2,0.2857142857142857,0.35294117647058826
2026-07-30,Europa Lg,Second qualifying round,Home,W,5,0,ch St. Gallen,5,25,10,40,0.16,0.4,1,1,11,3,27.3,0,0,0,0,14,7,0.4,0.2727272727272727
