date,competition,round,venue,result,goals_for,goals_against,opponent,shots_against,shots_on_target_against,shot_on_target_pct_against,goals_per_shot_against,goals_per_shot_on_target_against,penalties_against,penalties_attempted_against
2026-07-23,Europa Lg,Second qualifying round,Home,W,1,2,ch St. Gallen,17,6,35.3,0.12,0.33,0,0
2026-07-30,Europa Lg,Second qualifying round,Away,L,5,0,ch St. Gallen,11,3,27.3,0,0,0,0
