date,opponent,goals_for,goals_against,shots,shots_against,shots_on_target,shots_on_target_against,shot_share,shot_on_target_share,shot_control_index
2026-07-23,ch St. Gallen,1,2,14,17,4,6,0.45161290322580644,0.4,42.58064516129032
2026-07-30,ch St. Gallen,5,0,25,11,10,3,0.6944444444444444,0.7692307692307693,73.1837606837607
