date,competition,round,venue,result,goals_for,goals_against,opponent,goals,shots,shots_on_target,shot_on_target_pct,goals_per_shot,goals_per_shot_on_target,penalties_scored,penalties_attempted
2026-07-23,Europa Lg,Second qualifying round,Away,L,1,2,ch St. Gallen,1,14,4,28.6,0.07,0.25,0,0
2026-07-30,Europa Lg,Second qualifying round,Home,W,5,0,ch St. Gallen,5,25,10,40,0.16,0.4,1,1
