date,competition,round,venue,result,goals_for,goals_against,opponent,shots_on_target_against,saves,save_percentage,clean_sheet,penalties_faced,penalties_conceded,penalties_saved,penalties_missed
2026-07-23,Europa Lg,Second qualifying round,Away,L,1,2,ch St. Gallen,6,4,66.7,0,0,0,0,0
2026-07-30,Europa Lg,Second qualifying round,Home,W,5,0,ch St. Gallen,2,2,100,1,0,0,0,0
