date,opponent,goals_for,goals_against,shots_against,shots_on_target_against,saves,save_percentage,exposure_index,goalkeeper_dependency
2026-07-23,ch St. Gallen,1,2,17,6,4,66.7,35.294117647058826,0.6666666666666666
2026-07-30,ch St. Gallen,5,0,11,3,2,100,27.27272727272727,0.6666666666666666
