benfica_match_id,match_id,date,round,home_team,away_team,venue,opponent,benfica__top_stats__ball_possession,opponent__top_stats__ball_possession,benfica__top_stats__expected_goals_xg,opponent__top_stats__expected_goals_xg,benfica__top_stats__total_shots,opponent__top_stats__total_shots,benfica__top_stats__shots_on_target,opponent__top_stats__shots_on_target,benfica__top_stats__touches_in_opposition_box,opponent__top_stats__touches_in_opposition_box,benfica__top_stats__big_chances,opponent__top_stats__big_chances,benfica__top_stats__big_chances_missed,opponent__top_stats__big_chances_missed,benfica__top_stats__accurate_passes,opponent__top_stats__accurate_passes,benfica__top_stats__yellow_cards,opponent__top_stats__yellow_cards,benfica__top_stats__corners,opponent__top_stats__corners,benfica__shots__shots,opponent__shots__shots,benfica__shots__total_shots,opponent__shots__total_shots,benfica__shots__shots_off_target,opponent__shots__shots_off_target,benfica__shots__shots_on_target,opponent__shots__shots_on_target,benfica__shots__blocked_shots,opponent__shots__blocked_shots,benfica__shots__hit_woodwork,opponent__shots__hit_woodwork,benfica__shots__shots_inside_box,opponent__shots__shots_inside_box,benfica__shots__shots_outside_box,opponent__shots__shots_outside_box,benfica__expected_goals_xg__expected_goals_xg,opponent__expected_goals_xg__expected_goals_xg,benfica__expected_goals_xg__xg_open_play,opponent__expected_goals_xg__xg_open_play,benfica__expected_goals_xg__xg_set_play,opponent__expected_goals_xg__xg_set_play,benfica__expected_goals_xg__xg_non_penalty,opponent__expected_goals_xg__xg_non_penalty,benfica__expected_goals_xg__xg_on_target_xgot,opponent__expected_goals_xg__xg_on_target_xgot,benfica__passes__passes,opponent__passes__passes,benfica__passes__accurate_passes,opponent__passes__accurate_passes,benfica__passes__own_half,opponent__passes__own_half,benfica__passes__opposition_half,opponent__passes__opposition_half,benfica__passes__accurate_long_balls,opponent__passes__accurate_long_balls,benfica__passes__accurate_crosses,opponent__passes__accurate_crosses,benfica__passes__throws,opponent__passes__throws,benfica__passes__touches_in_opposition_box,opponent__passes__touches_in_opposition_box,benfica__passes__offsides,opponent__passes__offsides,benfica__defence__defence,opponent__defence__defence,benfica__defence__tackles,opponent__defence__tackles,benfica__defence__interceptions,opponent__defence__interceptions,benfica__defence__blocks,opponent__defence__blocks,benfica__defence__clearances,opponent__defence__clearances,benfica__defence__keeper_saves,opponent__defence__keeper_saves,benfica__duels__duels,opponent__duels__duels,benfica__duels__duels_won,opponent__duels__duels_won,benfica__duels__ground_duels_won,opponent__duels__ground_duels_won,benfica__duels__aerial_duels_won,opponent__duels__aerial_duels_won,benfica__duels__successful_dribbles,opponent__duels__successful_dribbles,benfica__discipline__discipline,opponent__discipline__discipline,benfica__discipline__yellow_cards,opponent__discipline__yellow_cards,benfica__discipline__red_cards,opponent__discipline__red_cards,benfica__discipline__fouls_committed,opponent__discipline__fouls_committed
SLB_20251109_H_CASAPIA,4844257,2025-11-09,11,Benfica,Casa Pia AC,Home,Casa Pia AC,66,34,2.22,1.21,19,7,6,4,35,7,3,3,1,2,489 (87%),224 (77%),3,2,6,2,,,19,7,7,0,6,4,6,3,1,0,10,4,9,3,2.22,1.21,0.83,0.37,0.6,0.05,1.43,0.43,2.6,1.67,562,292,489 (87%),224 (77%),152,162,337,62,29 (60%),20 (44%),3 (17%),2 (29%),21,15,35,7,5,1,,,14,15,6,4,2,5,8,33,3,4,,,39,40,27 (50%),27 (50%),12 (48%),13 (52%),7 (44%),7 (47%),,,3,2,0,0,8,8
SLB_20251129_A_NACIONAL,4844268,2025-11-29,12,Nacional,Benfica,Away,Nacional,70,30,2.4,0.39,30,6,8,2,62,4,3,1,2,0,503 (85%),177 (67%),2,4,11,2,,,30,6,12,3,8,2,10,1,0,0,17,2,13,4,2.4,0.39,1.95,0.37,0.46,0.02,2.4,0.39,2.62,0.95,595,265,503 (85%),177 (67%),147,100,356,77,19 (48%),20 (31%),10 (28%),0 (0%),33,8,62,4,1,0,,,12,13,6,9,1,10,14,55,1,6,,,63,47,40 (60%),27 (40%),23 (53%),20 (47%),18 (75%),8 (53%),,,2,4,0,0,8,10
SLB_20251205_H_SPORTINGCP,4844273,2025-12-05,13,Benfica,Sporting CP,Home,Sporting CP,41,59,0.92,0.58,10,5,4,2,13,9,1,1,0,0,295 (83%),454 (87%),2,5,3,2,,,10,5,5,2,4,2,1,1,0,0,5,3,5,2,0.92,0.58,0.82,0.58,0.1,0.0,0.92,0.58,1.54,0.62,355,521,295 (83%),454 (87%),176,301,119,153,12 (39%),18 (56%),3 (23%),2 (22%),16,17,13,9,2,1,,,25,19,11,8,1,1,14,16,1,3,,,62,52,48 (53%),43 (47%),14 (61%),9 (39%),4 (29%),9 (38%),,,2,5,1,0,15,20
SLB_20251214_A_MOREIRENSE,4844285,2025-12-14,14,Moreirense,Benfica,Away,Moreirense,47,53,1.0,0.51,10,10,5,2,24,9,3,0,1,0,410 (86%),459 (87%),0,2,4,4,,,10,10,2,2,5,2,3,6,0,0,8,5,2,5,1.0,0.51,0.9,0.25,0.1,0.26,1.0,0.51,2.09,0.16,475,530,410 (86%),459 (87%),238,315,172,144,19 (43%),23 (50%),2 (25%),2 (14%),13,12,24,9,1,0,,,16,15,10,2,6,3,15,22,2,1,,,58,42,48 (59%),33 (41%),10 (53%),9 (47%),15 (75%),3 (23%),,,0,2,0,0,15,19
SLB_20251222_H_FAMALICAO,4844291,2025-12-22,15,Benfica,Famalicao,Home,Famalicao,55,45,1.28,0.21,10,4,6,2,19,13,1,0,0,0,443 (85%),362 (85%),0,1,5,2,,,10,4,2,1,6,2,2,1,0,0,7,2,3,2,1.28,0.21,0.43,0.21,0.06,0.0,0.49,0.21,1.98,0.43,521,428,443 (85%),362 (85%),238,209,205,153,23 (46%),27 (52%),5 (33%),1 (7%),18,26,19,13,1,0,,,23,15,6,16,0,2,23,17,2,5,,,68,46,57 (64%),32 (36%),11 (44%),14 (56%),15 (65%),7 (35%),,,0,1,0,0,11,20
SLB_20251228_A_BRAGA,4844304,2025-12-28,16,Braga,Benfica,Away,Braga,51,49,1.23,1.7,14,11,6,3,22,15,3,3,2,1,410 (82%),408 (84%),2,2,5,1,,,14,11,7,4,6,3,1,4,0,0,10,6,4,5,1.23,1.7,0.83,0.5,0.4,0.41,1.23,0.91,2.19,2.24,500,488,410 (82%),408 (84%),227,227,183,181,23 (52%),5 (14%),6 (43%),1 (11%),19,20,22,15,1,1,,,16,10,8,13,3,1,7,12,1,4,,,56,40,37 (59%),26 (41%),19 (58%),14 (42%),9 (60%),10 (50%),,,2,2,0,1,9,14
SLB_20260103_H_ESTORIL,4844309,2026-01-03,17,Benfica,Estoril,Home,Estoril,51,49,2.27,0.71,20,9,3,4,29,18,3,2,0,2,338 (81%),336 (83%),0,2,7,3,,,20,9,7,3,3,4,10,2,0,0,13,6,7,3,2.27,0.71,1.01,0.66,0.47,0.05,1.48,0.71,1.88,1.69,415,403,338 (81%),336 (83%),153,204,185,132,19 (45%),19 (48%),4 (27%),1 (11%),11,10,29,18,2,0,,,20,15,8,14,2,10,13,27,3,0,,,57,54,44 (53%),39 (47%),13 (46%),15 (54%),11 (52%),12 (43%),,,0,2,0,0,12,15
SLB_20260117_A_RIOAVE,4844316,2026-01-17,18,Rio Ave,Benfica,Away,Rio Ave,63,37,1.78,0.2,24,7,8,1,48,7,4,0,3,0,540 (90%),289 (82%),2,1,11,3,,,24,7,11,2,8,1,5,4,1,1,15,3,9,4,1.78,0.2,1.09,0.16,0.69,0.03,1.78,0.2,0.92,0.5,599,351,540 (90%),289 (82%),215,204,325,85,23 (59%),22 (48%),8 (30%),2 (18%),16,22,48,7,0,2,,,19,16,10,6,4,7,12,33,1,5,,,48,36,41 (59%),28 (41%),7 (47%),8 (53%),11 (69%),5 (33%),,,2,1,0,0,8,12
SLB_20260125_H_ESTRELAAMADORA,4844331,2026-01-25,19,Benfica,Estrela da Amadora,Home,Estrela da Amadora,66,34,2.53,0.13,15,3,8,1,33,4,3,1,1,1,407 (88%),177 (72%),3,4,6,1,,,15,3,6,2,8,1,1,0,0,0,12,1,3,2,2.53,0.13,1.54,0.09,0.2,0.04,1.75,0.13,3.12,0.0,465,245,407 (88%),177 (72%),187,113,220,64,18 (53%),16 (37%),5 (18%),0 (0%),19,11,33,4,1,1,,,18,25,4,17,1,1,7,28,0,4,,,68,55,51 (55%),41 (45%),17 (55%),14 (45%),11 (50%),7 (44%),,,3,4,0,0,10,24
SLB_20260201_A_TONDELA,4844335,2026-02-01,20,Tondela,Benfica,Away,Tondela,77,23,2.1,0.48,24,6,8,1,59,11,4,1,4,1,501 (84%),112 (63%),0,5,13,1,,,24,6,9,5,8,1,7,0,0,1,15,2,9,4,2.1,0.48,1.77,0.43,0.33,0.05,2.1,0.48,2.31,0.02,593,177,501 (84%),112 (63%),180,49,321,63,20 (45%),20 (36%),8 (19%),4 (25%),35,18,59,11,0,0,,,14,25,6,9,0,7,14,61,1,9,,,59,51,43 (52%),39 (48%),16 (57%),12 (43%),10 (38%),9 (60%),,,0,5,0,0,5,19
